"Date","RegionID","RegionName","State","Metro","County","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2019-04-30,48303,"Wales","WI","Milwaukee-Waukesha-West Allis","Waukesha County",12123,313400,0.00771704180064309,0.0201822916666667,0.0552188552188552,0.0446580733230599,0.0169933219112408,"2019-04","2019-Q2",313400,0,"2019-04"
2019-04-30,399032,"Cherry Valley","NY","Oneonta","Otsego County",12124,123100,0.0016273393002441,-0.00645682001614205,0.0249791840133222,0.0282381577324233,-0.0023257785522719,"2008-07","2008-Q3",131200,-0.0617378048780488,"2007-08"
2019-04-30,22736,"Woodbridge","CA","Stockton-Lodi","San Joaquin County",12125,460000,-0.00904782421370099,-0.0111779879621668,0.00832967996492766,0.0613861707728185,0.0431506944646631,"2006-01","2006-Q1",508800,-0.0959119496855346,"2005-03"
2019-04-30,398422,"Au Sable","MI",,"Iosco County",12126,66400,-0.00895522388059702,-0.0133729569093611,0.00911854103343465,0.0383913888776399,0.0049514938626356,"2005-07","2005-Q3",74700,-0.111111111111111,"2001-02"
2019-04-30,11905,"Hill City","MN",,"Aitkin County",12127,125200,-0.0126182965299685,-0.0180392156862745,0.0390041493775934,-0.0230731493074996,-0.0181714664419015,"2008-04","2008-Q2",157200,-0.203562340966921,
2019-04-30,396774,"Cortland West","NY","Cortland","Cortland County",12128,200000,-0.000999000999000999,-0.0099009900990099,0.0198878123406425,0.0194896715424686,0.012177380659689,"2018-12","2018-Q4",202400,-0.0118577075098814,"2018-08"
2019-04-30,34697,"Weatherby Lake","MO","Kansas City","Platte County",12129,365700,-0.0145513338722716,-0.0284272051009564,0.0743243243243243,0.0514243070684071,0.0255701518285953,"2019-01","2019-Q1",376400,-0.0284272051009564,"2018-08"
2019-04-30,13177,"Panorama Village","TX","Houston-The Woodlands-Sugar Land","Montgomery County",12130,194400,0.00206185567010309,-0.00102774922918808,0.0146137787056367,0.0600977893017947,0.035235976648619,"2018-12","2018-Q4",194700,-0.00154083204930663,"2018-12"
2019-04-30,21445,"Coral","MI","Grand Rapids-Wyoming","Montcalm County",12131,94100,0.00319829424307036,-0.00423280423280423,0.222077922077922,0.0949081485276282,0.0380098190900811,"2019-01","2019-Q1",94500,-0.00423280423280423,"2018-12"
2019-04-30,398503,"Fulton","NY","Albany-Schenectady-Troy","Schoharie County",12132,130200,0.00308166409861325,0.000768639508070715,0.0619902120717781,0.0313103064775451,0.0148996968802395,"2019-04","2019-Q2",130200,0,"2019-04"
2019-04-30,17417,"Cherrylog","GA",,"Gilmer County",12133,222500,-0.00447427293064877,0.00135013501350135,0.0733236854799807,0.0597005396401822,0.013905839308797,"2019-03","2019-Q1",223500,-0.00447427293064877,"2019-02"
2019-04-30,4080,"Chesterfield","MA","Springfield","Hampshire County",12134,230400,-0.023314963967783,-0.0343671416596815,-0.0572831423895254,0.0325531954138878,0.00708248539596368,"2018-05","2018-Q2",245800,-0.0626525630593979,"2018-01"
2019-04-30,53652,"Oak Harbor","OH","Port Clinton","Ottawa County",12135,105500,-0.0056550424128181,-0.0112464854732896,0.082051282051282,0.0201166067302534,0.00288898051801278,"2006-11","2006-Q4",116500,-0.0944206008583691,"2003-08"
